county,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18
26137,0.6197183098591551,0.43581081081081074,0.603305785123967,0.8824404761904763,0.7417503586800573,0.4233766233766234,0.012358393408856774,0.23001230012300133,0.13490364025695933,0.3724226804123711,-0.24547283702213285,-0.31124999999999997,-0.4574235807860262,-0.5391498881431767,-0.5511961722488038,-0.4990384615384615,-0.4295774647887324,-0.4390735146022155,-0.3820662768031189,-0.29738562091503273,-0.31802525832376577,-0.11963882618510156,-0.15461624026696325,-0.05079681274900406,0.060913705583756333,0.04047976011994015,-0.10790464240903384,-0.023337222870478434,0.0024752475247525464,-0.16592920353982302,-0.08310991957104553,0.0820668693009119,0.12903225806451618,0.14395886889460158,0.06122448979591843,-0.03494926719278473,0.012539184952978127,0.13719185423365496,0.06692913385826772,-0.22176422093981868,0.009074410163339264,-0.19427244582043351,-0.21537229783827055,-0.20803212851405628,-0.131762652705061,-0.20640269587194604,-0.27926078028747436,-0.27955133735979293,-0.16970278044103554,-0.19449541284403668,-0.03234501347708894,-0.21888412017167383,0.3746478873239439,0.16779279279279274,0.36776859504132237
26139,0.4867776689520078,0.340531561461794,0.37921348314606723,1.217142857142857,0.2617946345975947,0.20496323529411767,0.05464926590538334,0.04707792207792207,0.16151809355692848,0.11129032258064521,-0.31028938906752407,-0.5138306789606035,-0.49171842650103526,-0.6510574018126889,-0.6413284132841328,-0.5751421608448416,-0.5471854304635762,-0.5122699386503067,-0.46724546172059983,-0.42412140575079876,-0.3578656853725851,-0.3826687116564416,-0.2123809523809524,-0.11385199240986715,-0.16773602199816678,-0.04914285714285713,-0.2335437330928764,-0.1809872029250457,-0.22386759581881535,-0.24185248713550592,-0.26086956521739135,-0.16060606060606072,-0.14814814814814806,-0.027624309392265217,0.005060728744939276,-0.16440831074977422,-0.09639564124056996,0.0025751072961372936,-0.04861693210393964,-0.23944687045123728,-0.25279329608938544,-0.3095077545515845,-0.2969460688758935,-0.3391025641025641,-0.2782608695652175,-0.4649805447470817,-0.4716981132075472,-0.4437543133195307,-0.4354395604395605,-0.3877118644067797,-0.20443925233644863,-0.28622327790973867,-0.04799216454456417,-0.12707641196013286,-0.03277153558052437
26141,0.4627737226277371,0.5342657342657344,0.31550802139037426,0.6633986928104576,0.36148148148148135,0.4059097978227061,-0.06728538283062645,0.2655217965653896,-0.002463054187192018,0.33943661971831,-0.15670650730411692,-0.14090909090909096,-0.3430303030303031,-0.24764468371467033,-0.2679045092838196,-0.1876675603217158,-0.21793103448275855,-0.15247776365946644,-0.2624839948783611,-0.08297567954220314,-0.1874999999999999,-0.2247644683714671,-0.029457364341085254,0.05114401076716013,-0.06965944272445826,0.0874403815580287,0.015873015873015837,0.09107142857142858,-0.06853582554517125,0.1730449251247919,0.22433460076045622,-0.11277173913043481,-0.09847434119278774,0.21116138763197584,0.10318471337579613,-0.08937823834196895,0.0959595959595959,0.06054054054054062,-0.0342741935483871,-0.12127894156560098,-0.060606060606060545,-0.14799588900308322,-0.14877789585547288,-0.14858260019550346,-0.08296943231441044,-0.004535147392290222,-0.2682379349046016,-0.2684703433922997,-0.19082125603864727,-0.35271317829457366,-0.08764367816091946,-0.17333333333333334,0.1401459854014598,0.1286713286713287,0.20855614973262016
26143,0.8466135458167331,0.638535031847134,0.47866419294990703,1.0230607966457024,0.2603174603174603,0.1532507739938079,0.12149532710280378,0.34918032786885245,0.20579268292682923,0.19880418535127042,-0.1719833564493758,-0.24319999999999997,-0.4310595065312047,-0.5555555555555556,-0.46754966887417215,-0.484548825710754,-0.44950213371266007,-0.40884718498659517,-0.2763157894736842,-0.09582689335394112,-0.20853080568720375,-0.11059907834101389,-0.26315789473684215,0.07117437722419923,0.11001642036124779,0.41685144124168505,0.013769363166953565,0.02842809364548495,0.02315484804630976,0.04093567251461984,-0.15242881072026807,0.04832713754646837,0.06702898550724641,0.31215970961887474,0.18864468864468859,-0.08510638297872346,0.0013623978201633376,0.01904761904761893,0.12808641975308646,-0.13756613756613764,-0.1099744245524298,-0.2544247787610619,-0.25000000000000006,-0.22186147186147176,-0.08022922636103162,-0.15140415140415134,-0.20972644376899696,-0.1479944674965422,-0.24585987261146494,-0.24296675191815859,-0.11754966887417222,-0.06072106261859572,0.40637450199203173,0.15764331210191093,0.31539888682745826
26145,0.5464547677261614,0.5453514739229025,0.4982248520710057,1.1779527559055119,0.45299145299145294,0.37424789410348985,0.16701680672268904,0.11275026343519495,0.17665289256198352,0.23923923923923915,-0.27596153846153837,-0.33459119496855344,-0.575046904315197,-0.619090909090909,-0.5808823529411764,-0.5440613026819924,-0.5316091954022989,-0.509208103130755,-0.49630996309963094,-0.4514285714285714,-0.37037037037037046,-0.33043478260869563,-0.3103448275862068,-0.05798816568047339,-0.08634772462077017,0.0389048991354466,-0.18287037037037046,-0.13264129181084194,-0.15801354401805867,-0.1735357917570499,-0.23437500000000006,-0.1742243436754177,-0.15428571428571428,-0.03440860215053758,-0.11003236245954692,-0.233170731707317,-0.21308576480990282,-0.15971606033717825,-0.14516129032258068,-0.259198691741619,-0.24814509480626545,-0.3079340141398272,-0.2903225806451612,-0.3447761194029851,-0.31489361702127655,-0.3955623565416986,-0.37525562372188137,-0.3789915966386555,-0.4187192118226601,-0.3521367521367521,-0.13858695652173914,-0.18694362017804153,-0.0036674816625916224,-0.012471655328798228,0.002366863905325347
26147,0.4221991701244813,0.43643643643643626,0.6534296028880867,0.9729364005412723,0.34536082474226804,0.3701226309921961,0.13027179006560446,-0.16140350877192983,0.10324232081911262,0.18760757314974194,-0.34197324414715713,-0.4652173913043478,-0.6310845431255337,-0.6830601092896175,-0.6428571428571429,-0.6184100418410041,-0.5858498705780846,-0.5340442986054142,-0.5187343880099917,-0.4868532654792197,-0.40904621435594885,-0.36800699300699297,-0.3107497741644083,-0.033482142857142884,-0.11221122112211222,0.053221288515406126,-0.17136659436008686,-0.08379888268156417,-0.10848549946294304,-0.1442006269592476,-0.1835645677694771,-0.08806488991888754,-0.06696935300794554,-0.019565217391304304,-0.12922465208747513,-0.209383145091225,-0.16347687400318991,-0.10768012668250199,-0.08930008045052293,-0.22429906542056077,-0.19250551065393096,-0.2559774964838255,-0.198019801980198,-0.27003367003367,-0.0891980360065467,-0.343441466854725,-0.35169082125603857,-0.4221402214022141,-0.4007407407407408,-0.3817619783616692,-0.08737864077669903,-0.12927191679049033,-0.15456431535269707,-0.05405405405405407,0.22984356197352596
26149,0.5663956639566394,0.4445754716981132,0.6753782668500689,1.2169811320754718,0.09773539928486291,0.28241335044929405,0.17547806524184464,-0.05119825708061013,0.20588235294117638,0.23522975929978124,-0.23819517313746064,-0.3997760358342665,-0.28070175438596495,-0.5365344467640918,-0.5239043824701195,-0.4569055036344756,-0.46802030456852795,-0.3862704918032787,-0.34796238244514105,-0.3132664437012263,-0.22251655629139067,-0.2511261261261261,-0.032894736842105296,0.1323943661971832,-0.03585147247119074,0.10050251256281392,-0.07383419689119185,-0.07525510204081635,-0.06257822277847315,-0.12023809523809537,-0.13832487309644662,0.051094890510948746,-0.07741116751269028,0.051282051282051294,0.03517587939698488,-0.11124121779859494,-0.06496272630457928,0.04824561403508773,-0.008213552361396254,-0.1370262390670554,-0.12441093308199815,-0.22374429223744285,-0.1880108991825614,-0.33057851239669417,-0.1830443159922929,-0.2730560578661845,-0.34083239595050624,-0.2468780019212296,-0.32992565055762085,-0.2383268482490273,-0.013636363636363606,-0.07704918032786878,0.10704607046070447,0.0636792452830189,0.039889958734525444
26151,0.447520184544406,0.37886872998932764,0.5788079470198676,1.1431005110732537,0.3506650544135429,0.42803970223325044,-0.062438057482656094,-0.18653846153846154,0.042897998093422346,0.01352569882777278,-0.2860892388451443,-0.33722287047841304,-0.5336976320582878,-0.5855096882898063,-0.5290381125226861,-0.4896489648964897,-0.5549645390070921,-0.5226510067114094,-0.4931381518755718,-0.4503676470588235,-0.32576617480136205,-0.29940711462450587,-0.17317845828933484,0.05328376703841403,-0.05679012345679021,0.04099560761346994,-0.15151515151515146,-0.04044117647058837,-0.05293440736478719,-0.11440677966101699,-0.13583138173302106,0.019556714471968724,-0.009900990099009842,0.030405405405405338,-0.13333333333333336,-0.11088295687885015,-0.12436974789915961,-0.073109243697479,-0.03846153846153849,-0.19828259172521462,-0.11257189811010684,-0.27331420373027254,-0.16455696202531656,-0.16896301667875274,0.027027027027026966,-0.27844073190135243,-0.3104145601617796,-0.26535836177474403,-0.30837789661319065,-0.29011194029850745,-0.023809523809523905,-0.007776049766718514,0.09688581314878898,0.10245464247598716,0.3841059602649006
26153,0.3366666666666666,0.5984848484848484,0.25842696629213474,0.4709897610921502,0.16376306620209058,0.031818181818181676,-0.26785714285714285,0.5887096774193549,0.3035087719298246,0.26148409893992947,-0.01188707280832088,-0.18198529411764705,0.011925042589437806,-0.3984126984126984,-0.3560209424083769,-0.4185733512786003,-0.49534161490683226,-0.38223938223938225,-0.23903818953323902,-0.2773826458036985,-0.13957055214723924,-0.18287373004354135,-0.09687500000000006,0.7110694183864916,0.2595155709342562,0.48000000000000004,0.3353057199211044,0.8883720930232558,0.43815513626834374,0.600414078674948,0.19706840390879465,0.6645299145299144,0.19429590017825324,0.25117739403453665,0.4359805510534846,-0.020491803278688544,-0.04184704184704184,0.3724247226624404,0.19518072289156616,-0.1459589867310012,0.658374792703151,-0.24034749034749028,0.03628447024673443,-0.10285006195786851,-0.0978398983481577,0.16916780354706676,-0.03209459459459469,-0.19594594594594594,-0.24461206896551724,-0.15795328142380413,0.15282392026578084,0.13608562691131507,0.5866666666666669,0.31060606060606044,0.5553772070626003
26155,0.44977168949771695,0.47598253275109154,0.5269761606022586,1.1825657894736845,0.2669039145907474,0.2913752913752913,0.07021063189568713,-0.04122722914669222,0.010869565217391365,0.12927756653992395,-0.2849213691026828,-0.3773364485981308,-0.6010830324909747,-0.642795513373598,-0.6075949367088608,-0.5964285714285714,-0.5532110091743119,-0.5141294439380127,-0.5064710957722174,-0.43330266789328425,-0.2894736842105264,-0.35495829471733087,-0.17508417508417512,-0.07683741648106908,-0.12868047982551803,0.04255319148936174,-0.19365426695842444,-0.10710128055878929,-0.17610710607621013,-0.1276127612761276,-0.26694045174537984,-0.07459207459207462,-0.12379935965848451,-0.012486992715920985,-0.028969957081545147,-0.16007905138339915,-0.08303249097472924,-0.013537906137184127,-0.02205882352941176,-0.1735731039874903,-0.1278688524590164,-0.21855828220858886,-0.19606358819076453,-0.2807017543859649,-0.16112084063047286,-0.38004569687738005,-0.39033816425120765,-0.3905079100749375,-0.38461538461538464,-0.38847117794486213,-0.08823529411764716,-0.14243323442136505,-0.027397260273972598,0.062227074235807825,0.20577164366373918
